NAMA,PAKET,HARGA,DESKRIPSI_FASILITAS,ALAMAT,KOTA,LATITUDE,LONGITUDE
Khaela Wedding,Paket Gedung Silver,IDR 31.000.000,"Pelaminan Gedung 8-10 meter
Karpet Panggung
Sofa Pelaminan + 4 Kursi Ortu
Taman Pelaminan + Pregola
Standing Fresh Flower Pelaminan + Lampu Sorot
Karpet Jalan + Pagar Jalan + Standing Flower
Janur Penjor + Kembar Mayang
Tombang / Pundi Uang (2 Unit)
Free : Hand Bucker Fresh Flower
Rias akad nikah/temu
Rias resepsi
Busana pengantin (2 pasang) – dipinjamkan
Rias dan busana ibu pengantin dan ibu besan
Rias dan busana untuk among tamu (2 orang)
Rias dan busana untuk pagar ayu (2 orang)
Busana beskap untuk bapak dan bapak besan
Busana beskap untuk pagar bagus (2 orang)
Ronce melati segar lengkap untuk pengantin
Bando melati segar buat ibu dan ibu besan
Foto Unlimited + 120 cetak 4R album magnetic large
Soft file diberikan semua
Video HD liputan akad-resepsi
Video Cinematic akad-resepsi
Paket Foto Pre Wedding 5 tema

","DK, Jl. Sambisari II B No.05, Kel, Lontar, Kec. Sambikerep,  Jawa Timur 60194",Surabaya,-7.270017,112.675092
Khaela Wedding,Paket Gedung Gold,IDR 50.000.000,"Pelaminan Gedung 8-10 meter
Karpet Panggung
Sofa Pelaminan + 4 Kursi Ortu
Taman Pelaminan + Pregola
Standing Fresh Flower Pelaminan + Lampu Sorot
Karpet Jalan + Pagar Jalan + Standing Flower
Janur Penjor + Kembar Mayang
Tombang / Pundi Uang (2 Unit)
Free : Hand Bucker Fresh Flower
Rias akad nikah/temu
Rias resepsi
Busana pengantin (2 pasang) – dipinjamkan
Rias dan busana ibu pengantin dan ibu besan
Rias dan busana untuk among tamu (2 orang)
Rias dan busana untuk pagar ayu (2 orang)
Busana beskap untuk bapak dan bapak besan
Busana beskap untuk pagar bagus (2 orang)
Ronce melati segar lengkap untuk pengantin
Bando melati segar buat ibu dan ibu besan
Cetak 120 Lembar 4R album magnetic large
Soft File diberikan semua
Video HD liputan akad-resepsi
","DK, Jl. Sambisari II B No.05, Kel, Lontar, Kec. Sambikerep,  Jawa Timur 60195",Surabaya,-7.275976,112.675092
Chandra Kencana Wedding,Paket Rumah Rustic,IDR 13.750.000,"Tenda Dekor Tertutup Dengan Lampu - Lampu 100 M, 2 Kursi Futura Dengan Cover Indah 100 Set, Panggung Nan Megah 6m X 4m, Pelaminan Megah & Dekorasi Indah Rustic, Pelaminan Rustic Mewah dan Indah, Mini Romantic Garden, Bunga Romantis Di Pelaminan, Beautiful Pergola Rustic, Dekorasi Buffet Mewah Standar Hotel Bintang Lima, Green Carpet Elegan,2 Set Standing Flower Rustic Dengan Bunga Romantis, 2 Buah Vas Bunga Besar dan Indah, Colour Lighting, 2 Unit Kipas Blower / Misty Fan, 1 Patung Angsa, 2 Buah Kotak Angpau Hoki, 2 Buah Kotak Souvenir, Alat Catering Standar Hotel, Piring Makan 100 piring, Sendok + Garpu 100 Set, Mangkok + Sendok 100 Set, Pemanas Makanan 6 Set, Tempat Nasi 2 Buah,Pemanas Soup 1 Buah,Sendok Soup Stainless Steel Besar, Sendok Nasi Stainless Steel Besar, Gubukan 2 Set, Gelas 100 Pcs, Meja Buffet 6 Set, 1 Janur dengan 1 papan nama mempelai, 2 Buah Meja Tamu, 2 Buah Buku Tamu
","Banyu Urip Wetan V G No.4, RT.007/RW.04, Putat Jaya, Kec. Sawahan, Jawa Timur 60255",Surabaya,-7.279807,112.724383
Chandra Kencana Wedding,Paket Rumah Adat,IDR 15.250.000,"Tenda Dekor Tertutup Dengan Lampu - Lampu 100 M, 2 Kursi Futura Dengan Cover Indah 100 Set, Panggung Nan Megah 6m X 4m, Pelaminan Megah & Dekorasi Indah Adat, Pelaminan Adat Mewah dan Indah, Mini Romantic Garden, Bunga Romantis Di Pelaminan, Beautiful Pergola, Dekorasi Buffet Mewah Standar Hotel Bintang Lima, Green Carpet Elegan,2 Set Standing Flower Rustic Dengan Bunga Romantis, 2 Buah Vas Bunga Besar dan Indah, Colour Lighting, 2 Unit Kipas Blower / Misty Fan, 1 Patung Angsa, 2 Buah Kotak Angpau Hoki, 2 Buah Kotak Souvenir, Alat Catering Standar Hotel, Piring Makan 100 piring, Sendok + Garpu 100 Set, Mangkok + Sendok 100 Set, Pemanas Makanan 6 Set, Tempat Nasi 2 Buah,Pemanas Soup 1 Buah,Sendok Soup Stainless Steel Besar, Sendok Nasi Stainless Steel Besar, Gubukan 2 Set, Gelas 100 Pcs, Meja Buffet 6 Set, 1 Janur dengan 1 papan nama mempelai, 2 Buah Meja Tamu, 2 Buah Buku Tamu
","Banyu Urip Wetan V G No.4, RT.007/RW.04, Putat Jaya, Kec. Sawahan, Jawa Timur 60256",Surabaya,-7.279807,112.724383
Djava Wedding,Paket Rumah 1,IDR 26.900.000,"Terop semi slayer 2  buah (4×6) + Sound System,Pelaminan 4-6 meter,Panggung + Karpet, Penjor 1 pcs, Janur kembar mayang 1 set, Pundi uang,Hand Bucket, Dekorasi Meja Akad, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak30 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video durasi40-60 menit, All File Photo Save on DVD-R, MC Resepsi, Electone + 1 Penyanyi, Catering Paket 250 pax, Souvenir 100 pcs ","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60222",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Rumah 2,IDR 35.900.000,"Terop semi slayer 2  buah (4×6) + Sound System,Pelaminan 6-8 meter,Panggung + Karpet, Penjor 1 pcs,Buku tamu + Bolpoin, Janur kembar mayang 1 set, Pundi uang,Hand Bucket, Standing Figura 1 pcs, Dekorasi Meja Akad, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak30 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video durasi40-60 menit, All File Photo Save on DVD-R, MC Resepsi, Electone + 1 Penyanyi, Catering Paket 400 pax, Souvenir 200 pcs ","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60223",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Rumah 3,IDR50.900.000,"Terop VIP  2 + Sound System, Pelaminan 9-10 meter, Panggung + Karpet, Penjor 1 pcs,Buku tamu + Bolpoin, Janur kembar mayang 4 set, Pundi uang,Hand Bucket,Standing blower 3,  Standing Figura 1 pcs, Dekorasi Meja Akad, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak30 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video durasi40-60 menit, All File Photo Save on DVD-R, Video Cinematic (5-10 menit), MC Resepsi, Electone + 1 Penyanyi, Cucuk Lampah, Catering Paket 600 pax, Souvenir 300 pcs ","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60224",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Rumah 4,IDR 60.900.000,"Terop VVIP (Full Slayer)  4 + Sound System, Pelaminan 9-10 meter, Panggung + Karpet, Penjor 1 pcs,Buku tamu + Bolpoin, Janur kembar mayang 4 set, Pundi uang,Hand Bucket,Standing blower 3,  Standing Figura 1 pcs, Dekorasi Meja Akad, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak30 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video durasi40-60 menit, All File Photo Save on DVD-R, Video Cinematic (5-10 menit), MC Resepsi, Electone + 1 Penyanyi, Cucuk Lampah, Catering Paket 800 pax, Souvenir 400 pcs ","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60225",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Gedung 1,IDR 45.000.000,"Pelaminan 8-10 meter+Rangkaian, Dekorasi Meja Akad, Penjor 1, Slayer background buku tamu, Pregola pintu masuk, kembar mayang, 4 bunga jalan,4 pagar jalan,Red karpet,Pundi uang,Hand bucket,Rangkaian bunga segar,2 buku tamu,Standing Figura 1 pcs,Sound System, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak 40 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video Full HD durasi30-40 menit, All File Photo HQ Save on DVD-R, Video Cinematic (2-5 menit), MC Resepsi dan Akad, Cucuk lampah/Saxophone, Band, Catering Paket Arjuna (300 pax), Souvenir 250 pcs","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60226",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Gedung 2,IDR 55.000.000,"Pelaminan 12 meter+Rangkaian, Dekorasi Meja Akad, Penjor 1, Slayer background buku tamu, Pregola pintu masuk, kembar mayang, 6 bunga jalan,4 pagar jalan,Red karpet,Pundi uang,Hand bucket,Rangkaian bunga segar,2 buku tamu,Standing Figura 1 pcs,Sound System, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak 40 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video Full HD durasi30-40 menit, All File Photo HQ Save on DVD-R, Video Cinematic (2-5 menit), MC Resepsi dan Akad, Cucuk lampah/Saxophone, Band, Catering Paket Arjuna (400 pax), Souvenir 250 pcs","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60227",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Gedung 3,IDR 77.000.000,"Pelaminan max 18 meter+Rangkaian, Dekorasi Meja Akad, Penjor 1, Slayer background buku tamu, 2 Pregola pintu masuk, kembar mayang, 6 bunga jalan,4 pagar jalan,Red karpet,Pundi uang,Hand bucket,Rangkaian bunga segar,2 buku tamu,Standing Figura 2 pcs,Sound System, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak 40 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video Full HD durasi30-40 menit, All File Photo HQ Save on DVD-R, Video Cinematic (5-10 menit), MC Resepsi dan Akad, Cucuk lampah/Saxophone, Band, Catering Paket Rama (600 pax), Souvenir 300 pcs","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60228",Surabaya,-7.324685,112.704399
Djava Wedding,Paket Gedung 4,IDR 99.000.000,"Pelaminan max 20 meter+Rangkaian, Panggung + Karpet, Dekorasi Meja Akad, Dekorasi Foto Corner/ Foto both, 2 Janur Penjor Umbul umbul,Janur kembar mayang 4 pcs, Standing blower 4, Dekorasi Pintu masuk, Slayer background buku tamu, 2 Pregola pintu masuk, kembar mayang, 6 bunga jalan,4 pagar jalan,Red karpet,Pundi uang,Hand bucket,Rangkaian bunga segar,2 buku tamu,Standing Figura 1 pcs,Sound System, Rias & Busana Akad Nikah Pengantin 1 Pasang, Rias & Busana Resepsi Pengantin 1 Pasang, Orang tua + besan 2 pasang, Kembar Mayang 2 pasang, Among Tamu 2 orang, 1 Photographer, 1 hari kerja (max 4 jam), Unlimited Shoot, Free Cetak 40 Photo Ukuran 4 R, Free Album Magnetic Exklusive, 1 Videographer, Free 1 DVD Video Full HD durasi30-40 menit, All File Photo HQ Save on DVD-R, Video Cinematic (5-10 menit), MC Resepsi dan Akad, Cucuk lampah/Saxophone, Band, Catering Paket Rama (800 pax), Souvenir 400 pcs","Jalan Bogangin Baru H 7, Kebraon, Karang Pilang, Kedurus, Kec. Karang Pilang, Jawa Timur 60229",Surabaya,-7.324685,112.704399
Mazarzo Wedding,Paket Affogato 1,IDR 62.000.000,"Catering Andromeda 500 pax, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet, Pelaminan 6-8 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad,1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60244",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Affogato 2,IDR 70.000.000,"Catering Andromeda 750 pax, 1 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus, Pelaminan 8-10 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad,1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60245",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Affogato 3,IDR 75.000.000,"Catering Andromeda 1000 pax, 2 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus, Pelaminan 8-10 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad,1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60246",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Baraquito 1,IDR 74.500.000,"Catering Bootes 500 pax, 1 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus, Pelaminan 8-10 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad,1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60247",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Baraquito 2,IDR 83.000.000,"Catering Bootes 750 pax, 2 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus,Rias dan Busana Keluarga 2, Pelaminan 8-10 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad,1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60248",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Baraquito 3,IDR 88.000.000,"Catering Bootes 1000 pax, 3 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus,Rias dan Busana Keluarga 2, Pelaminan 8-10 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad,1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60249",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Capucino 1,IDR 89.500.000,"Catering Delphinus 500 pax, 1 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus,Rias dan Busana Keluarga 2, Pelaminan 10 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 4 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Photo Gallery, Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad, Upacara Adat Mapag Pengantin, 1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60250",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Capucino 2,IDR 99.500.000,"Catering Delphinus 750 pax, 2 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus,Rias dan Busana Keluarga 2, Pelaminan 12 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 6 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Photo Gallery, Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad, Upacara Adat Mapag Pengantin, 1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60251",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Capucino 3,IDR 107.000.000,"Catering Delphinus 1000 pax, 3 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus,Rias dan Busana Keluarga 2, Pelaminan 12 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 6 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Photo Gallery, Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad, Upacara Adat Mapag Pengantin, 1 Vocal,1 Keyboard,1 Bass,1 Violin/ Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, ","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60252",Surabaya,-7.305463,112.744696
Mazarzo Wedding,Paket Doppio 1,IDR 104.00.000,"Catering Eridanus 500 pax, 2 Macam Dessert, Make Up & Touch Up Resepsi, Kebaya Akad dan Resepsi, Beskap/Jas Pengantin Akad dan Resepsi, Aksesoris Pengantin Akad/Resepsi, Make Up Hairdo/Jilbab Ibu Kedua Mempelai, Dua Set Kebaya Ibu Kedua Mempelai, Dua Set Beskap Bapak Kedua Mempelai, Kalung Melati Pengantin, Hand Bouquet,Rias 2 Pagar Ayu dan Pagar Bagus, Busana 2 Pagar Ayu dan Pagar Bagus,Rias dan Busana Keluarga 2, Pelaminan 12 Meter,Taman Pelaminan Artificial,Pergola Masuk Pengantin 3×3 1 Buah,Standing Flower Jalan 6 Buah,Karpet Jalan,Meja dan Kursi Penerima Tamu,Kotak Angpau 4 Buah,Photo Booth,Photo Gallery, Dekorasi Area Catering,Dekorasi Area VIP dan Area Pengantin,Janur 1 Buah,Buku Tamu,Meja Akad, Upacara Adat Mapag Pengantin, 1 Vocal,1 Keyboard,1 Bass,1 Violin, 1 Saxophone,Sound 3000 watt, MC Akad dan Resepsi, Dokumentasi Akad dan Resepsi, 1 Album Magazine Style 8Rp (20×30),1 Box Album Costum,1 DVD Video Liputan Acara & Editing,1 Pembesaran 16Rp Termasuk Frame Laminasi,All Photo Dalam DVD, Mobil Pengantin Tipe Mercedes Bens","Jl. Bentul VI No.4 B, Jagir, Kec. Wonokromo, Jawa Timur 60253",Surabaya,-7.305463,112.744696
