NAMA,PAKET,HARGA,DESKRIPSI_FASILITAS,ALAMAT,KOTA,LATITUDE,LONGITUDE
Zulfania Wedding,Paket Gedung Grade,IDR 18.500.000,"Dekorasi Pelaminan 6-7M + Taman + Lampu + Karpet + Bunga asli,Pelengkung Pintu Masuk / Pregola,Karpet Jalan,1 Penjor Pintu Masuk,4 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,   Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan + Baju, Rias 2 Jaga Souvenir + Baju, MC (Temu Manten - Resepsi), Unlimited Shoot + Cetak 100 Lembar,Shooting Video (Liputan 1 Hari), Electone Tunggal & Penyanyi","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60185",Surabaya,-7.270632,112.705787
Zulfania Wedding,Paket Antorium,IDR 27.000.000,"Dekorasi Pelaminan 6-8M + Taman + Lampu + Karpet + Bunga asli,Pelengkung Pintu Masuk / Pregola,Karpet Jalan,1 Penjor Pintu Masuk,4 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,   Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan + Baju, Rias 2 Jaga Souvenir + Baju, MC (Temu Manten - Resepsi), Unlimited Shoot + Cetak 100 Lembar,Shooting Video (Liputan 1 Hari), Electone Tunggal & Penyanyi, Catering by ZF : 300 Porsi (23.000)","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60186",Surabaya,-7.270632,112.705787
Zulfania Wedding,Paket Krisan,IDR 42.000.000,"Dekorasi Pelaminan 10 M + Taman + Lampu + Karpet + Bunga asli,3 Git Pintu Masuk,Karpet Jalan,1 Penjor Pintu Masuk,4 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,   Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan + Baju, Rias 2 Jaga Souvenir + Baju, MC (Temu Manten - Resepsi), Unlimited Shoot + Cetak 100 Lembar,Shooting Video (Liputan 1 Hari), Electone Tunggal & Penyanyi, Catering by ZF : 600 Porsi (27.000) Undangan + 50 Porsi Keluarga + Free 100 Menu Gubuk, Free Handbucket","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60187",Surabaya,-7.270632,112.705787
Dewi Wedding,Paket Gedung Bronze,IDR 59.000.000,"Gedung& Sarana untuk 600 Orang, Pelaminan Modern (Up to 8 Meters),Kursi Pengantin 1 Set,Mini Garden + Bunga Segar,Standing Flower 3 bh dipelaminan,Karpet Panggung,Linghting Ke Pelaminan, Dekorasi Buffe Prasmanan 1 set, Bunga di Buffe Prasmanan 3 bh,Pagar/ Pembatas Buffe VIP, Pargola di Buffe VIP,Pargola di Buffe VIP,Dekorasi Buffe VIP,Bunga di Buffe VIP 1 bh,Round Table di Buffe VIP 3 Set + Bunga Kecil,Inisial Bunga,Dekorasi Meja Dissert,Bunga di Meja Dissert,Janur / Umbul-umbul 1 pasang + Nama,Standing Flower di jalan,Karpet Merah di Jalan,Rangkaian Bunga di Meja Terima Tamu 2 bh,Backdrop Terima Tamu 2 bh,Pargola Pintu Masuk,Wellcome Gazebo + Bunga Jatuh di Pintu Masuk, Tata Rias & Busana Pengantin (Akad dan Resepsi), Tata Rias & Busana Orang Tua 2 pasang.,Tata Rias & Busana Penerima Tamu 4 Orang,Tata Rias & Busana Pager Ayu 6 Orang,Tata Rias & Busana Pager Bagus 6 Orang,  Album Photo Kolase Exclusive, 1 Album,Master Foto Transfer DVD,Video Shooting Transfer DVD Animasi,Mini Studio, Cucuk Lampah/ Mang Lengser,MC Untuk Resepsi Pernikahan, Organ Tunggal + Singer, Tempat Angpaw 2 bh (dipinjamkan), Buku Tamu 2 bh + Spidol, Standing Frame 2 bh, Buffe 50 porsi, Foto Ukuran 20 R + Bingkai Cantik 1 bh","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60242",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Gedung Silver,IDR 70.000.000,"Gedung& Sarana untuk 700 Orang, Pelaminan Modern (Up to 10 Meters),Kursi Pengantin 1 Set,Mini Garden + Bunga Segar,Standing Flower 3 bh dipelaminan,Karpet Panggung,Linghting Ke Pelaminan, Dekorasi Buffe Prasmanan 1 set, Bunga di Buffe Prasmanan 3 bh,Pagar/ Pembatas Buffe VIP, Pargola di Buffe VIP,Pargola di Buffe VIP,Dekorasi Buffe VIP,Bunga di Buffe VIP 1 bh,Round Table di Buffe VIP 3 Set + Bunga Kecil,Inisial Bunga, Ice Tray 1 bh (optional), Dekorasi Meja Dissert,Bunga di Meja Dissert,Janur / Umbul-umbul 1 pasang + Nama,Standing Flower di jalan,Karpet Merah di Jalan,Rangkaian Bunga di Meja Terima Tamu 2 bh,Backdrop Terima Tamu 2 bh,Pargola Pintu Masuk,Wellcome Gazebo + Bunga Jatuh di Pintu Masuk, Tata Rias & Busana Pengantin (Akad dan Resepsi), Tata Rias & Busana Orang Tua 2 pasang.,Tata Rias & Busana Penerima Tamu 4 Orang,Tata Rias & Busana Pager Ayu 6 Orang,Tata Rias & Busana Pager Bagus 6 Orang,  Album Photo Kolase Exclusive, 1 Album,Master Foto Transfer DVD,Video Shooting Transfer DVD Animasi,Mini Studio, Cucuk Lampah/ Mang Lengser,MC Untuk Resepsi Pernikahan, Organ Tunggal + Singer, Tempat Angpaw 2 bh (dipinjamkan), Buku Tamu 2 bh + Spidol, Standing Frame 2 bh, Buffe 50 porsi, Foto Ukuran 20 R + Bingkai Cantik 1 bh","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60243",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Gedung Gold,IDR 79.000.000,"Gedung& Sarana untuk 800 Orang, Pelaminan Modern (Up to 12 Meters),Kursi Pengantin 1 Set,Mini Garden + Bunga Segar,Standing Flower 3 bh dipelaminan,Karpet Panggung, Permadani, Linghting Ke Pelaminan, Dekorasi Buffe Prasmanan 1 set, Bunga di Buffe Prasmanan 3 bh,Pagar/ Pembatas Buffe VIP, Pargola di Buffe VIP,Pargola di Buffe VIP,Dekorasi Buffe VIP,Bunga di Buffe VIP 1 bh,Round Table di Buffe VIP 3 Set + Bunga Kecil,Inisial Bunga, Ice Tray 1 bh (optional), Dekorasi Meja Dissert,Bunga di Meja Dissert,Janur / Umbul-umbul 1 pasang + Nama,Standing Flower di jalan,Karpet Merah di Jalan, Foto Gallery + Backdrop, Rangkaian Bunga di Meja Terima Tamu 2 bh,Backdrop Terima Tamu 2 bh,Pargola Pintu Masuk,Wellcome Gazebo + Bunga Jatuh di Pintu Masuk, Kursi Tiffani Untuk Akad 6 bh, Tata Rias & Busana Pengantin (Akad dan Resepsi), Tata Rias & Busana Orang Tua 2 pasang.,Tata Rias & Busana Penerima Tamu 4 Orang,Tata Rias & Busana Pager Ayu 6 Orang,Tata Rias & Busana Pager Bagus 6 Orang,  Album Photo Kolase Exclusive, 1 Album,Master Foto Transfer DVD,Video Shooting Transfer DVD Animasi,Mini Studio, Cucuk Lampah/ Mang Lengser,MC Untuk Resepsi Pernikahan, Organ Tunggal + Singer, Tempat Souvenir 2 bh (dipinjamkan), Tempat Angpaw 2 bh (dipinjamkan), Buku Tamu 2 bh + Spidol, Standing Frame 2 bh, Buffe 50 porsi, Foto Ukuran 20 R + Bingkai Cantik 1 bh","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60244",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Gedung Platinum,IDR 92.000.000,"Gedung& Sarana untuk 1.000 Orang, Pelaminan Modern (Up to 15 Meters),Kursi Pengantin 1 Set,Mini Garden + Bunga Segar,Standing Flower 3 bh dipelaminan,Karpet Panggung, Permadani, Linghting Ke Pelaminan, Dekorasi Buffe Prasmanan 1 set, Bunga di Buffe Prasmanan 3 bh,Pagar/ Pembatas Buffe VIP, Pargola di Buffe VIP,Pargola di Buffe VIP,Dekorasi Buffe VIP,Bunga di Buffe VIP 1 bh,Round Table di Buffe VIP 3 Set + Bunga Kecil,Inisial Bunga, Ice Tray 1 bh (optional), Dekorasi Meja Dissert,Bunga di Meja Dissert,Janur / Umbul-umbul 1 pasang + Nama,Standing Flower di jalan,Karpet Merah di Jalan, Foto Gallery + Backdrop, Rangkaian Bunga di Meja Terima Tamu 2 bh,Backdrop Terima Tamu 2 bh,Pargola Pintu Masuk,Wellcome Gazebo + Bunga Jatuh di Pintu Masuk, Kursi Tiffani Untuk Akad 6 bh, Tata Rias & Busana Pengantin (Akad dan Resepsi), Tata Rias & Busana Orang Tua 2 pasang.,Tata Rias & Busana Penerima Tamu 4 Orang,Tata Rias & Busana Pager Ayu 6 Orang,Tata Rias & Busana Pager Bagus 6 Orang,  Album Photo Kolase Exclusive, 1 Album,Master Foto Transfer DVD,Video Shooting Transfer DVD Animasi,Mini Studio, Cucuk Lampah/ Mang Lengser,MC Untuk Resepsi Pernikahan, Organ Tunggal + Singer, Tempat Souvenir 2 bh (dipinjamkan), Tempat Angpaw 2 bh (dipinjamkan), Buku Tamu 2 bh + Spidol, Standing Frame 2 bh, Buffe 50 porsi, Foto Ukuran 20 R + Bingkai Cantik 1 bh","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60245",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Gedung Exclusive,IDR 119.000.000,"Gedung& Sarana untuk 1.500 Orang, Pelaminan Modern (Up to 15 Meters),Background Kain Hitam + Lampu Bintang, Kursi Pengantin 1 Set,Mini Garden + Bunga Segar,Standing Flower 5 bh dipelaminan,Karpet Panggung, Permadani, Linghting Ke Pelaminan, Dekorasi Buffe Prasmanan 1 set, Bunga di Buffe Prasmanan 3 bh,Pagar/ Pembatas Buffe VIP, Pargola di Buffe VIP,Pargola di Buffe VIP,Dekorasi Buffe VIP,Bunga di Buffe VIP 1 bh,Round Table di Buffe VIP 3 Set + Bunga Kecil,Inisial Bunga, Ice Tray 1 bh (optional), Dekorasi Meja Dissert,Bunga di Meja Dissert,Janur / Umbul-umbul 1 pasang + Nama,Standing Flower di jalan,Karpet Merah di Jalan, Foto Gallery + Backdrop, Rangkaian Bunga di Meja Terima Tamu 2 bh,Backdrop Terima Tamu 2 bh,Pargola Pintu Masuk,Wellcome Gazebo + Bunga Jatuh di Pintu Masuk, Kursi Tiffani Untuk Akad 6 bh, Photobooth + Backdropt / Pohon Maffel, Tata Rias & Busana Pengantin (Akad dan Resepsi), Tata Rias & Busana Orang Tua 2 pasang.,Tata Rias & Busana Penerima Tamu 4 Orang,Tata Rias & Busana Pager Ayu 6 Orang,Tata Rias & Busana Pager Bagus 6 Orang,  Album Photo Kolase Exclusive, 1 Album,Master Foto Transfer DVD,Video Shooting Transfer DVD Animasi,Mini Studio, Prewedding Busana & Tata Rias, Pembesaran foto 2 bh, Foto Prewedding 1 Album, Foto Bingkai Kecil 10 bh, Cucuk Lampah/ Mang Lengser,MC Untuk Resepsi Pernikahan, Organ Tunggal + Singer, Souvenir, Hand Bouqet, Tempat Souvenir 2 bh (dipinjamkan), Tempat Angpaw 2 bh (dipinjamkan), Buku Tamu 2 bh + Spidol, Standing Frame 2 bh, Buffe 50 porsi, Foto Ukuran 20 R + Bingkai Cantik 1 bh","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60246",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Rumah A,IDR 40.000.000,"Catering 300 pax, Tata Rias & Tata Busana Pengantin pada saat Akad dan Resepsi, Tata Rias dan Busana orang tua 2 pasang (Ibu baju sendiri), Rias dan Busana 4 orang penerima tamu, Pelaminan minimalis modern, Kursi Pengantin 1 Set, Karpet di pelaminan, Mini Garden, Bunga segar untuk di pelaminan, Rangkaian Bunga di Meja Terima Tamu 2 bh, Standing Flower di pelaminan, Lighting di Pelaminan, Bunga Segar di Meja Prasmanan, Dekorasi kamar pengantin, Standing Flower di jalan, Pargola 1 Set + bunga segar, Janur 1 bh + Nama, Album Photo Eksklusif 10 Sheet, CD Album Akad & Resepsi, Mini Studio, Peralatan, Tenda Dekor 100M2, Kursi Futura 70 bh, Meja tamu 2 buah, Buku tamu 2 buah, Tempat angpau 2 buah (dipinjamkan), Tempat souvenir 2 buah, Cooling Fan (Blower) 1 bh, Standing Frame 2bh dipinjamkan, MC Akad dan Resepsi, Bonus Foto Ukuran 17 R + Bingkai Cantik","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60247",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Rumah B,IDR 48.000.000,"Catering 400 pax, Tata Rias & Tata Busana Pengantin pada saat Akad dan Resepsi, Tata Rias dan Busana orang tua 2 pasang (Ibu baju sendiri), Rias dan Busana 4 orang penerima tamu, Pelaminan minimalis modern, Kursi Pengantin 1 Set, Karpet di pelaminan, Mini Garden, Bunga segar untuk di pelaminan, Rangkaian Bunga di Meja Terima Tamu 2 bh, Standing Flower di pelaminan, Lighting di Pelaminan, Bunga Segar di Meja Prasmanan, Dekorasi kamar pengantin, Standing Flower di jalan, Pargola 1 Set + bunga segar, Janur 1 bh + Nama,Karpet Jalan, Album Photo Eksklusif 10 Sheet, CD Album Akad & Resepsi, Mini Studio, Peralatan, Tenda Dekor 100M2, Kursi Futura 100 bh, Meja tamu 2 buah, Buku tamu 2 buah, Tempat angpau 2 buah (dipinjamkan), Tempat souvenir 2 buah, Cooling Fan (Blower) 1 bh, Standing Frame 2bh dipinjamkan, MC Akad dan Resepsi, Bonus Foto Ukuran 17 R + Bingkai Cantik","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60248",Surabaya,-7.305527,112.724038
Dewi Wedding,Paket Rumah C,IDR 53.000.000,"Catering 500 pax, Tata Rias & Tata Busana Pengantin pada saat Akad dan Resepsi, Tata Rias dan Busana orang tua 2 pasang (Ibu baju sendiri), Rias dan Busana 4 orang penerima tamu, Pelaminan minimalis modern, Kursi Pengantin 1 Set, Karpet di pelaminan, Mini Garden, Bunga segar untuk di pelaminan, Rangkaian Bunga di Meja Terima Tamu 2 bh, Standing Flower di pelaminan, Lighting di Pelaminan, Bunga Segar di Meja Prasmanan, Dekorasi kamar pengantin, Standing Flower di jalan, Pargola 1 Set + bunga segar, Janur 1 bh + Nama,Karpet Jalan, Album Photo Eksklusif 10 Sheet, CD Album Akad & Resepsi, Mini Studio, Peralatan, Tenda Dekor 100M2, Kursi Futura 100 bh, Meja tamu 2 buah, Buku tamu 2 buah, Tempat angpau 2 buah (dipinjamkan), Tempat souvenir 2 buah, Cooling Fan (Blower) 1 bh, Standing Frame 2bh dipinjamkan, MC Akad dan Resepsi, Bonus Foto Ukuran 17 R + Bingkai Cantik, Hand Bouqet","Jalan Raya Gunungsari No 214A, (Depan Pasar Ikan Hias Gunungsari), Surabaya, Sawunggaling, Kec. Wonokromo, Jawa Timur 60249",Surabaya,-7.305527,112.724038
